paper_id,year,venue,venue_group,inferred_tasks,llm_judge_model,llm_judge_type_auto,llm_judge_type_final,llm_judge_type
2024.acl-long.328,2024,acl,core_nlp,question_answering,,unknown,instruction_llm,unknown
2024.acl-long.417,2024,acl,core_nlp,dialogue,LLM,unknown,instruction_llm,unknown
2024.acl-long.51,2024,acl,core_nlp,summarization,,unknown,instruction_llm,unknown
2024.acl-long.516,2024,acl,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2024.acl-long.523,2024,acl,core_nlp,machine_translation|general_nlg|code_generation,,unknown,instruction_llm,unknown
2024.acl-long.533,2024,acl,core_nlp,question_answering,,unknown,instruction_llm,unknown
2024.acl-long.572,2024,acl,core_nlp,machine_translation|summarization|dialogue|instruction_following,,unknown,instruction_llm,unknown
2024.acl-long.573,2024,acl,core_nlp,machine_translation|captioning,,unknown,instruction_llm,unknown
2024.acl-long.587,2024,acl,core_nlp,general_nlg|instruction_following,,unknown,instruction_llm,unknown
2024.acl-long.590,2024,acl,core_nlp,machine_translation|summarization|dialogue|instruction_following,,unknown,instruction_llm,unknown
2024.acl-long.597,2024,acl,core_nlp,machine_translation|code_generation,,unknown,instruction_llm,unknown
2024.acl-long.617,2024,acl,core_nlp,machine_translation|instruction_following,,unknown,instruction_llm,unknown
2024.acl-long.624,2024,acl,core_nlp,machine_translation|summarization|instruction_following,,unknown,instruction_llm,unknown
2024.acl-long.762,2024,acl,core_nlp,machine_translation|instruction_following,,unknown,instruction_llm,unknown
2024.acl-long.859,2024,acl,core_nlp,summarization|general_nlg|code_generation,,unknown,instruction_llm,unknown
2024.acl-short.64,2024,acl,core_nlp,machine_translation,PA,unknown,instruction_llm,unknown
2024.eacl-long.149,2024,eacl,core_nlp,general_nlg,LLMs,unknown,instruction_llm,unknown
2024.eacl-long.8,2024,eacl,core_nlp,general_nlg,DialoguePT,unknown,instruction_llm,unknown
2024.emnlp-industry.109,2024,emnlp,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2024.emnlp-industry.69,2024,emnlp,core_nlp,summarization|dialogue,LLM,unknown,instruction_llm,unknown
2024.emnlp-industry.75,2024,emnlp,core_nlp,machine_translation|question_generation|question_answering,,unknown,instruction_llm,unknown
2024.emnlp-industry.81,2024,emnlp,core_nlp,dialogue|question_generation|general_nlg,,unknown,instruction_llm,unknown
2024.emnlp-main.1150,2024,emnlp,core_nlp,machine_translation|general_nlg|instruction_following,,unknown,instruction_llm,unknown
2024.emnlp-main.1159,2024,emnlp,core_nlp,machine_translation|general_nlg|instruction_following,,unknown,instruction_llm,unknown
2024.emnlp-main.137,2024,emnlp,core_nlp,story_generation,,unknown,instruction_llm,unknown
2024.emnlp-main.220,2024,emnlp,core_nlp,instruction_following,,unknown,instruction_llm,unknown
2024.emnlp-main.229,2024,emnlp,core_nlp,summarization|paraphrase|question_answering|instruction_following,,unknown,instruction_llm,unknown
2024.emnlp-main.317,2024,emnlp,core_nlp,machine_translation|general_nlg,NorBERT,unknown,instruction_llm,unknown
2024.emnlp-main.35,2024,emnlp,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2024.emnlp-main.389,2024,emnlp,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2024.emnlp-main.397,2024,emnlp,core_nlp,machine_translation,optimizer LLM,unknown,instruction_llm,unknown
2024.emnlp-main.432,2024,emnlp,core_nlp,data_to_text,perfect LLM,unknown,instruction_llm,unknown
2024.emnlp-main.451,2024,emnlp,core_nlp,machine_translation|summarization|dialogue|general_nlg|question_answering|instruction_following,,unknown,instruction_llm,unknown
2024.emnlp-main.496,2024,emnlp,core_nlp,machine_translation|dialogue|instruction_following,,unknown,instruction_llm,unknown
2024.emnlp-main.557,2024,emnlp,core_nlp,summarization,LLMs,unknown,instruction_llm,unknown
2024.emnlp-main.565,2024,emnlp,core_nlp,summarization|dialogue|general_nlg|code_generation,,unknown,instruction_llm,unknown
2024.emnlp-main.72,2024,emnlp,core_nlp,general_nlg,LLMs,unknown,instruction_llm,unknown
2024.emnlp-main.786,2024,emnlp,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2024.emnlp-main.816,2024,emnlp,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2024.emnlp-main.889,2024,emnlp,core_nlp,dialogue|paraphrase|general_nlg,,unknown,instruction_llm,unknown
2024.emnlp-main.911,2024,emnlp,core_nlp,general_nlg,Evaluator LLMs,unknown,instruction_llm,unknown
2024.emnlp-main.949,2024,emnlp,core_nlp,machine_translation|summarization|dialogue|paraphrase|general_nlg|code_generation|question_answering|instruction_following,,unknown,instruction_llm,unknown
2024.inlg-main.36,2024,inlg,generation,general_nlg,,unknown,instruction_llm,unknown
2024.naacl-long.230,2024,naacl,core_nlp,machine_translation|dialogue|paraphrase|general_nlg|instruction_following,,unknown,instruction_llm,unknown
2024.naacl-long.251,2024,naacl,core_nlp,summarization,,unknown,instruction_llm,unknown
2024.naacl-long.276,2024,naacl,core_nlp,machine_translation|general_nlg,,unknown,instruction_llm,unknown
2024.naacl-long.313,2024,naacl,core_nlp,dialogue|general_nlg,smaller LMs,unknown,instruction_llm,unknown
2024.naacl-long.35,2024,naacl,core_nlp,machine_translation|general_nlg,,unknown,instruction_llm,unknown
2024.naacl-long.358,2024,naacl,core_nlp,machine_translation,teacher LLM,unknown,instruction_llm,unknown
2024.naacl-long.362,2024,naacl,core_nlp,summarization,not specified,unknown,instruction_llm,unknown
2024.naacl-long.367,2024,naacl,core_nlp,general_nlg,large language models (LLMs),unknown,instruction_llm,unknown
2024.naacl-long.422,2024,naacl,core_nlp,machine_translation|dialogue|general_nlg|code_generation|style_transfer|instruction_following,,unknown,instruction_llm,unknown
2024.naacl-long.450,2024,naacl,core_nlp,machine_translation|summarization|dialogue|instruction_following,,unknown,instruction_llm,unknown
2024.naacl-long.464,2024,naacl,core_nlp,general_nlg|question_answering|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.1012,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.acl-long.1045,2025,acl,core_nlp,summarization,,unknown,instruction_llm,unknown
2025.acl-long.1064,2025,acl,core_nlp,general_nlg,large language model,unknown,instruction_llm,unknown
2025.acl-long.1159,2025,acl,core_nlp,summarization,DeepSeek-R1,unknown,instruction_llm,unknown
2025.acl-long.1172,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.acl-long.1203,2025,acl,core_nlp,dialogue|style_transfer|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.1226,2025,acl,core_nlp,dialogue|question_generation,LLM,unknown,instruction_llm,unknown
2025.acl-long.1238,2025,acl,core_nlp,dialogue|paraphrase|general_nlg,,unknown,instruction_llm,unknown
2025.acl-long.1243,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.acl-long.125,2025,acl,core_nlp,paraphrase|general_nlg,HateBERT,unknown,instruction_llm,unknown
2025.acl-long.1250,2025,acl,core_nlp,general_nlg,LLMjudge,unknown,instruction_llm,unknown
2025.acl-long.1268,2025,acl,core_nlp,question_generation,LLM,unknown,instruction_llm,unknown
2025.acl-long.1339,2025,acl,core_nlp,machine_translation|dialogue,,unknown,instruction_llm,unknown
2025.acl-long.1342,2025,acl,core_nlp,machine_translation,LLM,unknown,instruction_llm,unknown
2025.acl-long.1395,2025,acl,core_nlp,dialogue,EmoLlama-Chat-7B,unknown,instruction_llm,unknown
2025.acl-long.14,2025,acl,core_nlp,code_generation,LLM,unknown,instruction_llm,unknown
2025.acl-long.1416,2025,acl,core_nlp,summarization|dialogue,,unknown,instruction_llm,unknown
2025.acl-long.1448,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.acl-long.1507,2025,acl,core_nlp,machine_translation,LLM-as-a-Judge,unknown,instruction_llm,unknown
2025.acl-long.168,2025,acl,core_nlp,summarization,,unknown,instruction_llm,unknown
2025.acl-long.17,2025,acl,core_nlp,code_generation,,unknown,instruction_llm,unknown
2025.acl-long.183,2025,acl,core_nlp,machine_translation|summarization|dialogue,,unknown,instruction_llm,unknown
2025.acl-long.245,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.acl-long.252,2025,acl,core_nlp,instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.293,2025,acl,core_nlp,machine_translation|dialogue|general_nlg,,unknown,instruction_llm,unknown
2025.acl-long.314,2025,acl,core_nlp,dialogue|general_nlg|question_answering,,unknown,instruction_llm,unknown
2025.acl-long.320,2025,acl,core_nlp,dialogue|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.327,2025,acl,core_nlp,paraphrase|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.34,2025,acl,core_nlp,dialogue,,unknown,instruction_llm,unknown
2025.acl-long.343,2025,acl,core_nlp,code_generation,LLM,unknown,instruction_llm,unknown
2025.acl-long.351,2025,acl,core_nlp,machine_translation,LLM,unknown,instruction_llm,unknown
2025.acl-long.361,2025,acl,core_nlp,code_generation,,unknown,instruction_llm,unknown
2025.acl-long.403,2025,acl,core_nlp,paraphrase,"LLMs (e.g., Gemma-2-9B)",unknown,instruction_llm,unknown
2025.acl-long.423,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.acl-long.429,2025,acl,core_nlp,machine_translation,LLM,unknown,instruction_llm,unknown
2025.acl-long.5,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.acl-long.523,2025,acl,core_nlp,dialogue|general_nlg|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.532,2025,acl,core_nlp,paraphrase,,unknown,instruction_llm,unknown
2025.acl-long.535,2025,acl,core_nlp,machine_translation|dialogue|story_generation|general_nlg|code_generation|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.549,2025,acl,core_nlp,summarization,,unknown,instruction_llm,unknown
2025.acl-long.563,2025,acl,core_nlp,machine_translation|summarization|dialogue|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.611,2025,acl,core_nlp,code_generation,,unknown,instruction_llm,unknown
2025.acl-long.625,2025,acl,core_nlp,code_generation|question_answering|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.657,2025,acl,core_nlp,machine_translation|paraphrase,,unknown,instruction_llm,unknown
2025.acl-long.665,2025,acl,core_nlp,data_to_text,LLM,unknown,instruction_llm,unknown
2025.acl-long.681,2025,acl,core_nlp,machine_translation|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.689,2025,acl,core_nlp,captioning,,unknown,instruction_llm,unknown
2025.acl-long.699,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.acl-long.706,2025,acl,core_nlp,machine_translation|summarization|paraphrase|general_nlg|instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.709,2025,acl,core_nlp,dialogue,competitive text LLM,unknown,instruction_llm,unknown
2025.acl-long.773,2025,acl,core_nlp,story_generation,,unknown,instruction_llm,unknown
2025.acl-long.823,2025,acl,core_nlp,general_nlg|question_answering,,unknown,instruction_llm,unknown
2025.acl-long.849,2025,acl,core_nlp,code_generation,LLMs,unknown,instruction_llm,unknown
2025.acl-long.850,2025,acl,core_nlp,general_nlg,LLM,unknown,instruction_llm,unknown
2025.acl-long.862,2025,acl,core_nlp,instruction_following,,unknown,instruction_llm,unknown
2025.acl-long.879,2025,acl,core_nlp,dialogue,,unknown,instruction_llm,unknown
2025.acl-long.924,2025,acl,core_nlp,dialogue,,unknown,instruction_llm,unknown
2025.acl-long.957,2025,acl,core_nlp,machine_translation|code_generation|style_transfer,DIM-Bench (LLM-based),unknown,instruction_llm,unknown
2025.acl-long.972,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.acl-long.997,2025,acl,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.emnlp-main.1006,2025,emnlp,core_nlp,paraphrase,<model name>,unknown,instruction_llm,unknown
2025.emnlp-main.1038,2025,emnlp,core_nlp,dialogue,,unknown,instruction_llm,unknown
2025.emnlp-main.1081,2025,emnlp,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.emnlp-main.1095,2025,emnlp,core_nlp,data_to_text|question_generation,,unknown,instruction_llm,unknown
2025.emnlp-main.1151,2025,emnlp,core_nlp,summarization,"LLM (Bai et al., 2023)",unknown,instruction_llm,unknown
2025.emnlp-main.1177,2025,emnlp,core_nlp,dialogue|general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.1178,2025,emnlp,core_nlp,summarization,,unknown,instruction_llm,unknown
2025.emnlp-main.1181,2025,emnlp,core_nlp,question_generation,not specified,unknown,instruction_llm,unknown
2025.emnlp-main.1215,2025,emnlp,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.1255,2025,emnlp,core_nlp,instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.1268,2025,emnlp,core_nlp,paraphrase|code_generation,,unknown,instruction_llm,unknown
2025.emnlp-main.1276,2025,emnlp,core_nlp,code_generation,,unknown,instruction_llm,unknown
2025.emnlp-main.1294,2025,emnlp,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.1303,2025,emnlp,core_nlp,dialogue|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.1307,2025,emnlp,core_nlp,general_nlg,multiple models,unknown,instruction_llm,unknown
2025.emnlp-main.133,2025,emnlp,core_nlp,machine_translation|dialogue,,unknown,instruction_llm,unknown
2025.emnlp-main.1344,2025,emnlp,core_nlp,summarization|dialogue,,unknown,instruction_llm,unknown
2025.emnlp-main.1353,2025,emnlp,core_nlp,dialogue|paraphrase|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.1402,2025,emnlp,core_nlp,machine_translation,LLM,unknown,instruction_llm,unknown
2025.emnlp-main.1422,2025,emnlp,core_nlp,question_generation,,unknown,instruction_llm,unknown
2025.emnlp-main.1427,2025,emnlp,core_nlp,dialogue,strong LLM,unknown,instruction_llm,unknown
2025.emnlp-main.146,2025,emnlp,core_nlp,paraphrase,,unknown,instruction_llm,unknown
2025.emnlp-main.1490,2025,emnlp,core_nlp,question_generation|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.1492,2025,emnlp,core_nlp,dialogue,GPT-eval,unknown,instruction_llm,unknown
2025.emnlp-main.1511,2025,emnlp,core_nlp,code_generation,LLM,unknown,instruction_llm,unknown
2025.emnlp-main.1523,2025,emnlp,core_nlp,dialogue|general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.1563,2025,emnlp,core_nlp,dialogue,,unknown,instruction_llm,unknown
2025.emnlp-main.1586,2025,emnlp,core_nlp,machine_translation,DeepSeek Chat v2.5,unknown,instruction_llm,unknown
2025.emnlp-main.1590,2025,emnlp,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.emnlp-main.1616,2025,emnlp,core_nlp,machine_translation,Prometheus,unknown,instruction_llm,unknown
2025.emnlp-main.1628,2025,emnlp,core_nlp,machine_translation,Deita scorer (which utilizes an LLM),unknown,instruction_llm,unknown
2025.emnlp-main.1635,2025,emnlp,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.emnlp-main.1698,2025,emnlp,core_nlp,dialogue|paraphrase,,unknown,instruction_llm,unknown
2025.emnlp-main.1716,2025,emnlp,core_nlp,machine_translation|story_generation,,unknown,instruction_llm,unknown
2025.emnlp-main.1721,2025,emnlp,core_nlp,story_generation,"Llama-8B, Olmo-7B, Olmo-13B",unknown,instruction_llm,unknown
2025.emnlp-main.175,2025,emnlp,core_nlp,machine_translation|summarization|general_nlg|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.1753,2025,emnlp,core_nlp,general_nlg,external verification model,unknown,instruction_llm,unknown
2025.emnlp-main.1756,2025,emnlp,core_nlp,machine_translation|dialogue|general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.1762,2025,emnlp,core_nlp,summarization|paraphrase|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.1770,2025,emnlp,core_nlp,code_generation,LLMs or VLMs,unknown,instruction_llm,unknown
2025.emnlp-main.1787,2025,emnlp,core_nlp,paraphrase,,unknown,instruction_llm,unknown
2025.emnlp-main.190,2025,emnlp,core_nlp,summarization,,unknown,instruction_llm,unknown
2025.emnlp-main.196,2025,emnlp,core_nlp,machine_translation|dialogue|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.200,2025,emnlp,core_nlp,question_generation|question_answering,,unknown,instruction_llm,unknown
2025.emnlp-main.22,2025,emnlp,core_nlp,question_generation|question_answering,,unknown,instruction_llm,unknown
2025.emnlp-main.300,2025,emnlp,core_nlp,dialogue,,unknown,instruction_llm,unknown
2025.emnlp-main.363,2025,emnlp,core_nlp,question_generation|general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.375,2025,emnlp,core_nlp,machine_translation|summarization|dialogue|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.381,2025,emnlp,core_nlp,story_generation,GPT-o4-mini,unknown,instruction_llm,unknown
2025.emnlp-main.403,2025,emnlp,core_nlp,summarization|data_to_text|question_generation|general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.410,2025,emnlp,core_nlp,code_generation,LLM,unknown,instruction_llm,unknown
2025.emnlp-main.424,2025,emnlp,core_nlp,machine_translation|dialogue,LLM,unknown,instruction_llm,unknown
2025.emnlp-main.433,2025,emnlp,core_nlp,paraphrase,LLM,unknown,instruction_llm,unknown
2025.emnlp-main.471,2025,emnlp,core_nlp,machine_translation|summarization|dialogue|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.476,2025,emnlp,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.emnlp-main.48,2025,emnlp,core_nlp,dialogue,,unknown,instruction_llm,unknown
2025.emnlp-main.49,2025,emnlp,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.504,2025,emnlp,core_nlp,paraphrase,,unknown,instruction_llm,unknown
2025.emnlp-main.508,2025,emnlp,core_nlp,data_to_text,LM-based factuality checker,unknown,instruction_llm,unknown
2025.emnlp-main.512,2025,emnlp,core_nlp,question_answering,,unknown,instruction_llm,unknown
2025.emnlp-main.527,2025,emnlp,core_nlp,machine_translation|question_generation|general_nlg|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.533,2025,emnlp,core_nlp,summarization,GPT-eval,unknown,instruction_llm,unknown
2025.emnlp-main.580,2025,emnlp,core_nlp,summarization|dialogue,LLM,unknown,instruction_llm,unknown
2025.emnlp-main.583,2025,emnlp,core_nlp,machine_translation|dialogue|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.585,2025,emnlp,core_nlp,dialogue|general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.60,2025,emnlp,core_nlp,question_generation,Qwen 2.5,unknown,instruction_llm,unknown
2025.emnlp-main.614,2025,emnlp,core_nlp,machine_translation|dialogue,,unknown,instruction_llm,unknown
2025.emnlp-main.656,2025,emnlp,core_nlp,machine_translation,AfroXLMR-114L,unknown,instruction_llm,unknown
2025.emnlp-main.692,2025,emnlp,core_nlp,machine_translation,LLM,unknown,instruction_llm,unknown
2025.emnlp-main.726,2025,emnlp,core_nlp,summarization|dialogue,,unknown,instruction_llm,unknown
2025.emnlp-main.728,2025,emnlp,core_nlp,summarization|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.796,2025,emnlp,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.831,2025,emnlp,core_nlp,machine_translation,,unknown,instruction_llm,unknown
2025.emnlp-main.837,2025,emnlp,core_nlp,question_answering,,unknown,instruction_llm,unknown
2025.emnlp-main.86,2025,emnlp,core_nlp,machine_translation|dialogue|style_transfer|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.884,2025,emnlp,core_nlp,captioning,,unknown,instruction_llm,unknown
2025.emnlp-main.914,2025,emnlp,core_nlp,machine_translation|code_generation|instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.931,2025,emnlp,core_nlp,instruction_following,,unknown,instruction_llm,unknown
2025.emnlp-main.937,2025,emnlp,core_nlp,dialogue,LLM,unknown,instruction_llm,unknown
2025.emnlp-main.960,2025,emnlp,core_nlp,dialogue,,unknown,instruction_llm,unknown
2025.emnlp-main.967,2025,emnlp,core_nlp,paraphrase|general_nlg,,unknown,instruction_llm,unknown
2025.emnlp-main.984,2025,emnlp,core_nlp,summarization|question_generation,,unknown,instruction_llm,unknown
2025.ijcnlp-long.126,2025,ijcnlp,core_nlp,question_generation,LLMs,unknown,instruction_llm,unknown
2025.ijcnlp-long.165,2025,ijcnlp,core_nlp,summarization,medgemma-27b-text-it,unknown,instruction_llm,unknown
2025.ijcnlp-long.189,2025,ijcnlp,core_nlp,machine_translation|summarization|simplification|paraphrase,,unknown,instruction_llm,unknown
2025.ijcnlp-long.194,2025,ijcnlp,core_nlp,paraphrase,LLM,unknown,instruction_llm,unknown
2025.ijcnlp-long.61,2025,ijcnlp,core_nlp,machine_translation|dialogue|general_nlg,,unknown,instruction_llm,unknown
2025.ijcnlp-long.82,2025,ijcnlp,core_nlp,story_generation,OpenAI o4-mini,unknown,instruction_llm,unknown
2025.ijcnlp-long.92,2025,ijcnlp,core_nlp,summarization|general_nlg|instruction_following,,unknown,instruction_llm,unknown
2025.ijcnlp-short.12,2025,ijcnlp,core_nlp,machine_translation|summarization|general_nlg,,unknown,instruction_llm,unknown
2025.ijcnlp-srw.11,2025,ijcnlp,core_nlp,summarization,LLM,unknown,instruction_llm,unknown
2025.inlg-main.37,2025,inlg,generation,general_nlg,LLMs,unknown,instruction_llm,unknown
2025.inlg-main.47,2025,inlg,generation,data_to_text|general_nlg,"GPT-o3, Claudesonnet-3.7",unknown,instruction_llm,unknown
2025.inlg-main.6,2025,inlg,generation,general_nlg,,unknown,instruction_llm,unknown
2025.naacl-long.228,2025,naacl,core_nlp,machine_translation,LLM,unknown,instruction_llm,unknown
2025.naacl-long.250,2025,naacl,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2025.naacl-long.288,2025,naacl,core_nlp,machine_translation|captioning|general_nlg|instruction_following,,unknown,instruction_llm,unknown
2025.naacl-long.374,2025,naacl,core_nlp,general_nlg,,unknown,instruction_llm,unknown
2025.naacl-long.435,2025,naacl,core_nlp,dialogue,"G-Eval (Liu et al., 2023)",unknown,instruction_llm,unknown
2025.naacl-long.438,2025,naacl,core_nlp,general_nlg,LLM,unknown,instruction_llm,unknown
2025.naacl-long.439,2025,naacl,core_nlp,summarization|question_answering|instruction_following,,unknown,instruction_llm,unknown
2025.naacl-long.50,2025,naacl,core_nlp,dialogue|story_generation|general_nlg,,unknown,instruction_llm,unknown
2025.naacl-long.578,2025,naacl,core_nlp,code_generation|instruction_following,,unknown,instruction_llm,unknown
2025.naacl-long.579,2025,naacl,core_nlp,summarization|captioning,,unknown,instruction_llm,unknown
2025.naacl-long.603,2025,naacl,core_nlp,paraphrase,,unknown,instruction_llm,unknown
2025.naacl-short.18,2025,naacl,core_nlp,machine_translation,LLM,unknown,instruction_llm,unknown
